"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-01","1961","01","01","","-9.4","","-11.7","","-10.6","","28.6","","0.0","","0.0","","3.3","","3.3","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-02","1961","01","02","","-12.8","","-17.2","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-03","1961","01","03","","-11.7","","-23.3","","-17.5","","35.5","","0.0","","0.0","","6.1","","2.0","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-04","1961","01","04","","-10.0","","-16.1","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-05","1961","01","05","","-9.4","","-25.6","","-17.5","","35.5","","0.0","","0.3","","0.0","","0.3","","28","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-06","1961","01","06","","-3.3","","-15.6","","-9.5","","27.5","","0.0","","0.0","T","3.6","","2.3","","28","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-07","1961","01","07","","1.7","","-8.9","","-3.6","","21.6","","0.0","","0.0","","3.6","","2.5","","28","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-08","1961","01","08","","-5.0","","-9.4","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.3","","25","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-09","1961","01","09","","-10.0","","-15.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-10","1961","01","10","","-2.2","","-20.6","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-11","1961","01","11","","1.7","","-12.8","","-5.6","","23.6","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-12","1961","01","12","","-11.7","","-20.6","","-16.2","","34.2","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-13","1961","01","13","","3.3","","-16.7","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-14","1961","01","14","","3.3","","-12.8","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-15","1961","01","15","","-7.2","","-18.3","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-16","1961","01","16","","-5.6","","-22.8","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-17","1961","01","17","","2.2","","-18.9","","-8.4","","26.4","","0.0","","0.0","T","0.0","T","0.0","T","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-18","1961","01","18","","-15.0","","-20.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-19","1961","01","19","","-17.2","","-27.2","","-22.2","","40.2","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-20","1961","01","20","","-15.0","","-22.8","","-18.9","","36.9","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-21","1961","01","21","","-17.2","","-23.9","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-22","1961","01","22","","-15.6","","-28.9","","-22.3","","40.3","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-23","1961","01","23","","-16.1","","-28.3","","-22.2","","40.2","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-24","1961","01","24","","-14.4","","-22.8","","-18.6","","36.6","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-25","1961","01","25","","-17.2","","-25.0","","-21.1","","39.1","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-26","1961","01","26","","-16.7","","-24.4","","-20.6","","38.6","","0.0","","0.0","","0.3","","0.5","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-27","1961","01","27","","-13.3","","-25.0","","-19.2","","37.2","","0.0","","0.0","","0.3","","0.3","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-28","1961","01","28","","-8.3","","-22.2","","-15.3","","33.3","","0.0","","0.0","","0.5","","0.5","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-29","1961","01","29","","-10.6","","-21.7","","-16.2","","34.2","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","1961-01-30","1961","01","30","","-11.7","","-27.8","","-19.8","","37.8","","0.0","","0.0","","0.0","T","0.0","T","20","","","","",""
